electricity,elektr/,
electronics,elektronik/,
element,element/,
elf,elf/,
elixir,eliksir/,
ellipse,elips/,
Elizabeth,Elizabet/,
"elide, omit syllable or vowel",elizi/,
eloquent,elokvent/,
inclined to,em/,sufikso
enamel,emajl/,
"emancipate, set free",emancip/,
embarrass,embaras/,
emblem,emblem/,
embryo,embri/,
ambush,embusk/,
"emeritus, ex-official",emerit/,
emphasis,emfaz/,
Emily,Emili/,
Eminence (title),eminenc/,
"eminent, distinguished, exalted",eminent/,
emotion,emoci/,
empirical,empiri/,
emulsion,emulsi/,
in (when followed by the accusative---into),en,
encyclopedia,enciklopedi/,
that which must be done,end/,sufikso
endive (plant),endivi/,
energy,energi/,
"enigma, puzzle",enigm/,
"official inquiry, investigation",enket/,
entomologist,entomolog/,
entomology (study of insects),entomologi/,
"undertake, agree to do",entrepren/,
enthusiasm,entuziasm/,
"be bored, weary",enu/,
envy,envi/,
epidemic,epidemi/,
epidermis,epiderm/,
Epiphany,Epifani/,
epigraph (an engraved inscription),epigraf/,
epigram (short poem or saying with witty ending),epigram/,
epilepsy,epilepsi/,
"epilogue, final part of a literary work",epilog/,
bishop,episkop/,
epithet (a characterizing word or phrase),epitet/,
episode,epizod/,
epoch,epok/,
"epaulette, shoulder-piece",epolet/,
epic poem,epope/,
one of many objects of the same kind,er/,sufikso
"err, be mistaken",erar/,
heath (plant),erik/,
hedgehog,erinac/,
erysipelas (a disease),erizipel/,
ermine (type of weasel),ermen/,
hermit,ermit/,
Ernest,Ernest/,
erotic,erotik/,
harrow (farm implement),erp/,
"erudition, learning, profound scholarship",erudici/,
erupt,erupci/,
except,escept/,
essence,esenc/,
squadron,eskadr/,
escape,eskap/,
escort,eskort/,
hope,esper/,
Esperanto,Esperant/,lingvonomo
explore,esplor/,
"express (by word, gesture, etc.)",esprim/,
be,est/,
"establish, found",establ/,
aesthetics,estetik/,
esteem,estim/,
extinguish,esting/,
Estonian (people),Eston/,
"chief, boss",estr/,sufikso
"platform, stage",estrad/,
scaffold (for executions),eŝafod/,
denotes dimunition of degree,et/,sufikso
"floor, story (of a house)",etaĝ/,
"stage, place along a journey, stopping-place",etap/,
"register, list, inventory, statment (financial, etc.)",etat/,
extend,etend/,
ether,eter/,
eternal,etern/,
ethics,etik/,
"label, tag",etiked/,
etiquette,etiket/,
etymologist,etimolog/,
etymology (study of word origins),etimologi/,
etiologist,etiolog/,
etiology (study of the causes of disease),etiologi/,
Ethiopian (people),Etiop/,
ethnicity,etn/,
ethnographist,etnograf/,
ethnography (systematic recording of human cultures),etnografi/,
ethnology,etnologi/,
"ethos, characteristic atmosphere",etos/,
euphemism,eŭfemism/,
eucalyptus,eŭkalipt/,
"eucharist, the Lord\'s supper",eŭkaristi/,
eunuch,eŭnuk/,
euro (money),eŭr/,
Europe,Eŭrop/,
gospel,evangeli/,
event,event/,
contingent,eventual/,
"evident, obvious",evident/,
"avoid, elude",evit/,
"evolve, develop",evolu/,
"evolve, develop",evoluci/,
esophagus (anatomy),ezofag/,
pike (type of fish),ezok/,
bean,fab/,
fairy-tale,fabel/,
"fable, animal story with a moral",fabl/,
factory,fabrik/,
"face, outer surface (of a clock, coin, etc.)",fac/,
facet,facet/,
easy,facil/,
a thread,faden/,
beech (tree),fag/,
bassoon,fagot/,
"china, crockery, earthenware",fajenc/,
"whistle, make whistling sound",fajf/,
"file (as with a wood file, etc.)",fajl/,
fire,fajr/,
"department, specialty",fak/,
fakir (type of Muslim monk),fakir/,
facsimile,faksimil/,
fact,fakt/,
factor,faktor/,
invoice,faktur/,
faculty (as of a college),fakultat/,
fall,fal/,
phalanx,falang/,
"flounce, a strip of pleated fabric attached by one edge",falbal/,
"mow, reap, cut (grass, etc.)",falĉ/,
"fold, pleat (vb.)",fald/,
falcon,falk/,
falsify,fals/,
"fame, rumor, report",fam/,
family,famili/,
"familiar, friendly",familiar/,
fanatical,fanatik/,
"smelt by heat, blend, fuse, liquify",fand/,
"fanfare, flourish (music)",fanfar/,
"boast, brag",fanfaron/,
fantasy,fantazi/,
"ghost, phantom",fantom/,
"do, make",far/,
"coloring, pigment",farb/,
"stuffing, dressing (food)",farĉ/,
pharynx,faring/,
to lease land for farming,farm/,
pharmaceutics,farmaci/,
"farce, mockery",fars/,
be (well or unwell),fart/,
"flour, meal",farun/,
"facade, face of a building",fasad/,
"bundle, bunch, cluster",fask/,
"fashion, make, cut (of clothes, etc.)",fason/,
"to fast, abstain from food",fast/,
fatal,fatal/,
jaws,faŭk/,
favus (type of skin disease),fav/,
"favor, generous treatment, goodwill, kindness",favor/,
phase,faz/,
pheasant,fazan/,
kidney bean,fazeol/,
fairy,fe/,
fever,febr/,
February,Februar/,
"dregs, grounds, sediment",feĉ/,
federate,feder/,
federation,federaci/,
defecate,fek/,
"hide, fur, pelt (of an animal)",fel/,
happy,feliĉ/,
"feuilleton, literary feature printed in installments",felieton/,
felt (cloth),felt/,
feminism,feminism/,
feminist,feminist/,
"thigh, femur",femur/,
split,fend/,
window,fenestr/,
phoenix,feniks/,
fennel (plant),fenkol/,
phenomenon,fenomen/,
iron,fer/,
deck (of ship),ferdek/,
"holiday, vacation",feri/,
"close, shut",ferm/,
ferment,ferment/,
"fervor, zeal, ardor",fervor/,
celebrate,fest/,
"feast, banquet",festen/,
festival,festival/,
festoon (decorative hanging chain or strip),feston/,
fetish,fetiĉ/,
feudal,feŭd/,
shameful (often used as prefix),fi,
carriage for hire,fiakr/,
betrothed (engaged) person,fianĉ/,
"fiasco, breakdown, failure",fiask/,
fiber,fibr/,
"trust, have faith",fid/,
faithful,fidel/,
proud,fier/,
fig,fig/,
"figure, image",figur/,
fiction,fikci/,
"fix, fasten, make fast, secure",fiks/,
fictitious,fiktiv/,
son,fil/,
philanthropist,filantrop/,
philanthropy,filantropi/,
branch (as of a business),fili/,
fern,filik/,
film (as of a movie or photograph),film/,
philologist,filolog/,
philology (study of literature),filologi/,
philosopher,filozof/,
philosophy,filozofi/,
"filter, strain",filtr/,
"finish, conclude, end",fin/,
finale (music or theater),final/,
finance,financ/,
finger,fingr/,
"firm, stable, steady",firm/,
public treasury,fisk/,
fistula (type of ulcer),fistul/,
fish,fiŝ/,
physics,fizik/,
physiologist,fiziolog/,
physiology,fiziologi/,
physionomy (facial characteristics and expressions),fizionomi/,
fjord,fjord/,
flag,flag/,
"flicker, flare (as a flame)",flagr/,
flame,flam/,
thin flat pastry,flan/,
flannel,flanel/,
side,flank/,
"smell, perceive by the nose",flar/,
flatter,flat/,
yellow,flav/,
"nurse, look after, tend",fleg/,
"phlegmatic cold-blooded, impassive",flegm/,
"(cause to) flex, bend, curve, bow",fleks/,
inflection (grammar),fleksi/,
"patch, darn, mend, repair",flik/,
"flit, flutter (as e.g. a bird or butterfly)",flirt/,
"flake, fluff, lock, wisp",flok/,
"flower, bloom, blossom (vb.)",flor/,
florin (type of coin),floren/,
"a raft, float",flos/,
flow,flu/,
fly (vb.),flug/,
fluid,fluid/,
whisper,flustr/,
flute (musical instrument),flut/,
"name of the letter \""f\""",fo,liternomo
"fair, market (commerce)",foir/,
time (e.g. three times etc.),foj/,
hay,fojn/,
seal (animal),fok/,
focus,fokus/,
"leaf, sheet (of a plant or paper)",foli/,
folklore,folklor/,
background,fon/,
"found, establish",fond/,
phonetics,fonetik/,
phonograph,fonograf/,
"source (as of a well, spring, etc.)",font/,
fountain (artificial),fontan/,
"away, forth, off",for,
forget,forges/,
"forge, work in metal",forĝ/,
fork,fork/,
"form, shape",form/,
formal,formal/,
format,format/,
ant,formik/,
formula,formul/,
"stove, furnace, oven",forn/,
strong,fort/,
pianoforte,fortepian/,
"firm, solid, durable, robust",fortik/,
forum,forum/,
dig,fos/,
phosphorus,fosfor/,
"post, stake, pole",fost/,
photograph,fot/,
armchair,fotel/,
photograph,fotograf/,
photography,fotografi/,
strawberry,frag/,
fragment,fragment/,
"spawn, collection of eggs (as of fish)",fraj/,
dress-coat,frak/,
"shatter, smash",frakas/,
fraction,frakci/,
ash (tree),fraksen/,
"framework, base structure",fram/,
freemason,framason/,
raspberry,framb/,
French (people),Franc/,popolnomo
"be fond of, enjoy, like, have a taste for",frand/,
alder buck-thorn (plant),frangol/,
"fringe, ornamental border",franĝ/,
franc (French money),frank/,
"hit, knock (vb.)",frap/,
brother,frat/,
bachelor,fraŭl/,
sentence (grammar),fraz/,
frigate (type of ship),fregat/,
foreign,fremd/,
"mad, crazy",frenez/,
"fresco, painting on wet plaster",fresk/,
fresh,freŝ/,
chaffinch (type of bird),fring/,
siskin (type of bird),fringel/,
"rascal, rogue, knave",fripon/,
"frieze (decorative band, or coarse fabric)",fris/,
fry,frit/,
frivolous,frivol/,
"curl, crimp wave (hair, etc.)",friz/,
cheese,fromaĝ/,
"front, foremost part",front/,
fronton (architectural),fronton/,
frost,frost/,
rub,frot/,
early,fru/,
rook (type of bird),frugileg/,
fruit,frukt/,
forehead,frunt/,
frustrate,frustr/,
"phthisis, consumption, tuberculosis",ftiz/,
"flee, run away",fuĝ/,
focus (species of brown algae),fuk/,
soot,fulg/,
lightning,fulm/,
smoke,fum/,
bottom,fund/,
foundation,fundament/,
mourning,funebr/,
funnel,funel/,
fungus; mushroom,fung/,
"function, act, operate, work",funkci/,
pound (weight),funt/,
"forage, fodder, food for animals",furaĝ/,
"Fury, godess of vengeance",Furi/,
"furious, raging",furioz/,
"furor, craze, sensation",furor/,
"furuncle, boil (medicine)",furunk/,
flatulate,furz/,
fustian (type of cloth),fusten/,
"bungle, blunder, botch",fuŝ/,
foot (measure),fut/,
cod (type of fish),gad/,
"merry, cheerful",gaj/,
gall (swelling of plant tissue),gajl/,
gain,gajn/,
"bile, gall",gal/,
galaxy,galaksi/,
snowdrop (type of plant),galant/,
toiletries,galanteri/,
galantine (cold chopped meat dish),galantin/,
galley (type of ship),galer/,
gallery,galeri/,
"cord, lace",galon/,
gallop,galop/,
"galosh, overshoe",galoŝ/,
"gamut, full range",gam/,
"gaiter, spats (type of foot covering)",gamaŝ/,
ganglion,gangli/,
gangrene,gangren/,
glove,gant/,
garage,garaĝ/,
"guarantee, promise, pledge",garanti/,
"sheaf, bundle, cluster",garb/,
"guard, watch over",gard/,
gardenia (type of plant),gardeni/,
"rinse, gargle",gargar/,
"garnish, adorn, decorate",garn/,
"equipment, accessories, gear",garnitur/,
garrison,garnizon/,
jay (type of bird),garol/,
gas (state of matter),gas/,
guest,gast/,
gauze,gaz/,
gazelle,gazel/,
magazine,gazet/,
of both sexes,ge/,prefikso
gelatine,gelaten/,
"gem, jewel",gem/,
gene,gen/,
gentian (type of plant),gencian/,
genealogist,genealog/,
genealogy,genealogi/,
generation (as of a family),generaci/,
general (military),general/,
genius,geni/,
gorse (type of plant),genist/,
genetive,genitiv/,
genet (type of animal),genot/,
gender,genr/,
"people, race, kind, genus",gent/,
knee,genu/,
geodesy,geodezi/,
geographer,geograf/,
geography,geografi/,
geologist,geolog/,
geology,geologi/,
geometer,geometr/,
geometry,geometri/,
George,Georg/,
geranium (type of plant),gerani/,
German (people),German/,
gerund (grammar),gerundi/,
gesture,gest/,
guichet (small viewing door; ticket office; counter),giĉet/,
giant,gigant/,
guillotine,gilotin/,
gymnastics,gimnastik/,
type of public school,gimnazi/,
gypsum,gips/,
"garland, wreath",girland/,
guitar,gitar/,
ice,glaci/,
iron (clothes),glad/,
gladiator,gladiator/,
acorn,glan/,
gland,gland/,
drinking glass,glas/,
"smooth, glossy (not rough)",glat/,
sword,glav/,
glaze,glazur/,
glycerin,glicerin/,
licorice (type of plant),gliciriz/,
glucose,glikoz/,
mica,glim/,
glide (aviation),glis/,
"glide, skate, slide",glit/,
globe,glob/,
glory,glor/,
glue,glu/,
glucose,glukoz/,
"swallow, absorb",glut/,
gnome,gnom/,
"name of the letter \""g\""",go,liternomo
gudgeon (type of fish),gobi/,
gulf,golf/,
"gondola, Venetian canal-boat",gondol/,
throat,gorĝ/,
gorilla,goril/,
Gothic,gotik/,
"graceful, charming, elegant",graci/,
"degree, grade",grad/,
"earl, count",graf/,
"graphics (art, computer, etc.)",grafik/,
graphite,grafit/,
handwriting expert,grafolog/,
graphology (study of handwriting),grafologi/,
"grain, small seed",grajn/,
gram,gram/,
grammar,gramatik/,
"gramophone, phonograph",gramofon/,
pomegranate (type of fruit),granat/,
large,grand/,
grandiose,grandioz/,
granite,granit/,
"grease, fat",gras/,
"scratch, claw, scrape",grat/,
congratulate,gratul/,
important,grav/,
pregnant,graved/,
engrave,gravur/,
"herd, drove, flock (of anmimals)",greg/,
Greek (people),Grek/,
grain (as for making meal or flour),gren/,
grenade,grenad/,
hulled grain (such as oats),gri/,
slate-pencil; engraving pencil,grifel/,
cricket (type of insect),gril/,
grimace,grimac/,
climb,grimp/,
"make a grinding noise, creak, grate, squeak",grinc/,
influenza,grip/,
grey,griz/,
grog (drink of rum and water),grog/,
gooseberry (type of fruit),gros/,
groschen (type of coin),groŝ/,
"grotto, artificial cavern",grot/,
grotesque,grotesk/,
crane (type of bird),gru/,
grumble,grumbl/,
"ground, earth, soil",grund/,
group,grup/,
"gravel, coarse sand",gruz/,
type of administrative district,guberni/,
tar,gudr/,
eagle owl (type of bird),guf/,
guava,gujav/,
gulden (type of coin),gulden/,
"gum, resinous material",gum/,
"street organ, hurdy-gurdy",gurd/,
taste,gust/,
drop,gut/,
gutta-percha (type of latex),gutaperk/,
teach privately (act as tutor),guvern/,
guard (military guard),gvardi/,
Guatemala,Gvatemal/,
guide,gvid/,
Guinea,Gvine/,
garden,ĝarden/,
groan,ĝem/,
twin,ĝemel/,
"bother, annoy, disturb",ĝen/,
"gendarem, armed policeman",ĝendarm/,
"general, relating to nearly all",ĝeneral/,
"polite, courteous",ĝentil/,
germ,ĝerm/,
it,ĝi,
hump,ĝib/,
gin (type of liquor),ĝin/,
endorse (as a check),ĝir/,
giraffe,ĝiraf/,
"up to, until",ĝis,
"name of the letter \""ĝ\""",ĝo,liternomo
"rejoice, be glad",ĝoj/,
enjoy,ĝu/,
"right, accurate, exact, correct",ĝust/,
"ah, alas",ha,
hail,hajl/,
"chop, hew",hak/,
"hall (market, etc.)",hal/,
"noxious, bad-smelling fumes; stench",haladz/,
halberd (type of weapon),halebard/,
"halt, stop",halt/,
hammock,hamak/,
hamster,hamstr/,
hangar (as for airplanes),hangar/,
hair,har/,
"harden, toughen",hard/,
harem,harem/,
herring,haring/,
harmony,harmoni/,
harmonica,harmonik/,
reed organ,harmonium/,
harp,harp/,
harpy; ill-natured woman,harpi/,
harpoon,harpun/,
skin (e.g. human skin),haŭt/,
have,hav/,
"port, harbor",haven/,
"chance, random",hazard/,
hey,he,
Hebrew,Hebre/,
ivy,heder/,
"hegemony, predominance, supremacy",hegemoni/,
hedge (of bushes),heĝ/,
home,hejm/,
"to heat, fire, stoke",hejt/,
slaughter of many people,hekatomb/,
hexameter (in verse),heksametr/,
hectare,hektar/,
hectogram,hektogram/,
hectoliter,hektolitr/,
hectometer,hektometr/,
bright; light; clear,hel/,
helix,helic/,
snail,helik/,
helicopter,helikopter/,
heliotrope (type of plant),heliotrop/,
help,help/,
Henrietta,Henriet/,
liver,hepat/,
"herb, grass",herb/,
inherit,hered/,
heresy,herez/,
hermaphrodite,hermafrodit/,
"hernia, rupture (med.)",herni/,
hero,hero/,
"herald, person who proclaims important news",herold/,
hetman (type of military commander),hetman/,
hesitate,hezit/,
hyacinth (type of plant),hiacint/,
hydra (mythological or type of sea animal),hidr/,
mercury (chemical element),hidrarg/,
hydrophobia,hidrofobi/,
hydrogen,hidrogen/,
hydrostatic,hidrostatik/,
hydrotherapy,hidroterapi/,
hyena,hien/,
hierarchy,hierarĥi/,
hierarchy,hierarki/,
yesterday,hieraŭ,
hieroglyph,hieroglif/,
hygiene,higien/,
hygrometer,higrometr/,
hymn,himn/,
hypertrophy (med.),hipertrofi/,
hypnosis,hipnot/,
hippodrome,hipodrom/,
"feign, play the hypocrite",hipokrit/,
hippopotamus,hipopotam/,
mortgage,hipotek/,
hypothesis,hipotez/,
"bristly, rough, scrubby, shaggy, spiky",hirt/,
leech,hirud/,
swallow (type of bird),hirund/,
henbane (type of plant),hiskiam/,
hyssop (type of plant),hisop/,
Spanish (people),Hispan/,popolnomo
hysteria,histeri/,
"history, story",histori/,
porcupine,histrik/,
oh,ho,
"name of the letter \""h\""",ho,liternomo
oboe,hoboj/,
today,hodiaŭ,
hook,hok/,
man (the species),hom/,
homeopath,homeopat/,
homeopathy,homeopati/,
hominy (type of grain),homonim/,
honest,honest/,
honor,honor/,
honorarium,honorari/,
be ashamed,hont/,
hour,hor/,
barley,horde/,
horizon,horizont/,
horizontal,horizontal/,
clock,horloĝ/,
hormone,hormon/,
horoscope,horoskop/,
hortensia (type of plant),hortensi/,
ortolan (type of bird),hortulan/,
hospital,hospital/,
host (consecrated wafer),hosti/,
hotel,hotel/,
hoof,huf/,
humus (type of soil),hum/,
humane,human/,
humerus (upper arm bone),humer/,
humid,humid/,
humble,humil/,
"temper, humor",humor/,
dog,hund/,
Hungarian (people),Hungar/,
hurray,hura,
hussar (type of soldier),husar/,
great white sturgeon (type of fish),huz/,
chaos,ĥaos/,
chemistry,ĥemi/,
chimera,ĥimer/,
surgeon,ĥirurg/,
surgery,ĥirurgi/,
"name of the letter \""ĥ\""",ĥo,liternomo
cholera,ĥoler/,
"chorus, choir",ĥor/,
termination of the infinitive in verbs,-i,finaĵo
"name of the letter \""i\""",i,liternomo
of some kind,ia,
for some reason,ial,
at some time,iam,
ibis (type of bird),ibis/,
"child, young one",id/,sufikso
idea,ide/,
"ideal, high aim, model of perfection",ideal/,
idealism,idealism/,
identical,ident/,
ideography (the representation of ideas by graphic,ideografi/,
ideology,ideologi/,
idyll (in literature),idili/,
idiom,idiom/,
idiot,idiot/,
idiomatic expression or phrase,idiotism/,
idol,idol/,
somewhere,ie,
somehow,iel,
someone\'s,ies,
to cause to be,ig/,sufikso
ignore,ignor/,
to become,iĝ/,sufikso
isinglass (substance made from fish),iĥtiokol/,
"x \[liternomo\] name of the letter \""x\""",iks/,
instrument,il/,sufikso
holly (type of plant),ileks/,
they,ili,
illuminate,ilumin/,
illustrate,ilustr/,
illusion,iluzi/,
imagine,imag/,
imitate,imit/,
imperative (grammar),imperativ/,
imperfect tense (grammar),imperfekt/,
empire,imperi/,
"top deck, outside (of a bus, etc.)",imperial/,
imperialism,imperialism/,
"impertinent, impudent, insolent",impertinent/,
impetuous,impet/,
implicate,implik/,
"impress, command respect",impon/,
import,import/,
"tax, duty",impost/,
"mental impression, effect produced on mind",impres/,
"impresario, manager of public entertainment",impresari/,
improvise,improviz/,
impulse,impuls/,
immune,imun/,
ending of feminine words,in/,sufikso
inaugurate,inaŭgur/,
inaugurate,inaŭguraci/,
incense,incens/,
"incite, provoke",incit/,
worthy of,ind/,sufikso
index (alphabetical list),indeks/,
indifferent,indiferent/,
indigo (blue powder),indig/,
"be indignant (at, with)",indign/,
"indigenous, nativ",indiĝen/,
indicate,indik/,
indicative (grammar),indikativ/,
individual (single person),individu/,
"infer, reason by induction",indukt/,
"be indulgent, be merciful",indulg/,
industry,industri/,
inert,inert/,
child,infan/,
infantry,infanteri/,
infect,infekt/,
hell,infer/,
infinitive (grammar),infinitiv/,
inflation (finance),inflaci/,
inflammation,inflam/,
"influence, have an effect on",influ/,
inform,inform/,
infuse,infuz/,
holder for,ing/,sufikso
ingredient,ingredienc/,
groin,ingven/,
engineer,inĝenier/,
"initiate, start",iniciat/,
inject,injekt/,
ink,ink/,
"inclination, bent, bias, disposition",inklin/,
inclusive,inkluziv/,
incognito,inkognit/,
inquisition,inkvizici/,
inquisitor,inkvizitor/,
inoculate,inokul/,
insect,insekt/,
"lay a snare for, set a trap for",insid/,
"insignia, badge, emblem of authority or dignity",insign/,
insist,insist/,
inspect,inspekt/,
inspector,inspektor/,
inspire,inspir/,
"install, establish, set up",instal/,
juristdiction,instanc/,
"instigate, goad, incite",instig/,
instinct,instinkt/,
institution,instituci/,
"institute, academy",institut/,
"instruct, teach",instru/,
"instructions, directions, orders",instrukci/,
instrument,instrument/,
island,insul/,
insulin,insulin/,
insult,insult/,
ending of past part. act. in verbs,int/,sufikso
intellect,intelekt/,
intelligent,inteligent/,
intend,intenc/,
person in charge,intendant/,
intense,intens/,
"between, among",inter,
interest,interes/,
interjection,interjekci/,
intermittent,intermit/,
"internal, inside",intern/,
question formally concerning an official action,interpelaci/,
interpret,interpret/,
punctuation,interpunkci/,
interview,intervju/,
intestine,intest/,
intimate,intim/,
"intrigue, plot, scheme",intrig/,
"inundate, flood",inund/,
invade,invad/,
disabled person,invalid/,
invent,invent/,
"reverse, opposite; inverse ",invers/,
invite,invit/,
something,io,
"a little, some quantity",iom,
"y \[liternomo\] name of the letter \""y\""",ipsilon/,
go,ir/,
Iraq,Irak/,
Iran,Iran/,
iris (type of plant),irid/,
iris (as of the eye),iris/,
Ireland,Irland/,
irony,ironi/,
ending of past tense in verbs,-is,finaĵo
Iceland,Island/,
"-ism (doctrine, movement, principle)",ism/,sufikso
Israel,Israel/,
person occupied with,ist/,sufikso
isthmus,istm/,
ending of past part. pass. in verbs,it/,sufikso
Italian (people),Ital/,
someone,iu,
isolate,izol/,
Isreal (ancient; modern=Israelo),Izrael/,
sign of the plural,-j,finaĵo
emphatic particle,ja,
jaguar,jaguar/,
"jacket, coat",jak/,
already,jam,
January,Januar/,
inhabitant of Japan,japan/,
year,jar/,
jasmine (type of plant),jasmen/,
can be rendered by various English prepositions,je,
"behold, lo",jen,
yes,jes,
Jesus,Jesu/,
Jesuit,Jezuit/,
"name of the letter \""j\""",jo,liternomo
iodine,jod/,
John,Johan/,
York,Jork/,
Joseph,Jozef/,
the (ju...des = the...the),ju,
"jubilee, anniversary",jubile/,
"Jew, Jewish",Jud/,
Judaism,Judaism/,
"yoke, cross-bar (as for oxen)",jug/,
walnut,jugland/,
"judge, adjuticate, decide",juĝ/,
itch,juk/,
July,Juli/,
young,jun/,
"to harness, hitch, yoke",jung/,
June,Juni/,
juniper (type of plant),juniper/,
rush (type of plant),junk/,
"skirt, petticoat, slip",jup/,
"law, jurisprudence",jur/,
"jurist, lawyer",jurist/,
"just, lawful, fair, righteous",just/,
jewel,juvel/,
formal jacket (men\'s or women\'s),ĵaket/,
jealous,ĵaluz/,
jargon,ĵargon/,
Thursday,ĵaŭd/,
jazz (music),ĵaz/,
throw,ĵet/,
"name of the letter \""ĵ\""",ĵo,liternomo
jockey,ĵoke/,
juggle,ĵongl/,
judo,ĵud/,
"swear, take an oath, solemnly attest",ĵur/,
newspaper,ĵurnal/,
"just now, not long ago",ĵus,
"cabal, intrigue, group plotting to usurp",kabal/,
"cabin, cottage",kaban/,
special room for consultation,kabinet/,
cable,kabl/,
cabriolet (type of one-horse carriage),kabriolet/,
"hash, mush, pulp, purée",kaĉ/,
"cadaver, corpse",kadavr/,
cadence (as in music),kadenc/,
cadet (in a military academy),kadet/,
a frame,kadr/,
"frail, broken-down, worn-out",kaduk/,
coffee,kaf/,
cage,kaĝ/,
"tile, paving block, flagstone",kahel/,
"pier, wharf",kaj/,
and,kaj,
exercise book; unbound book or section thereof,kajer/,
"cabin (as a cockpit, room in a ship, etc.)",kajut/,
cocoa,kaka/,
cactus,kakt/,
corn (on the foot),kal/,
calcium,kalci/,
"cauldron, large kettle",kaldron/,
kaleidoscope,kalejdoskop/,
calendar,kalendar/,
marigold (type of plant),kalendul/,
light four-wheeled carriage,kaleŝ/,
to caulk,kalfatr/,
potassium,kali/,
calibrate,kalibr/,
caliph (Islamic ruler),kalif/,
"chalice, cup, bowl",kalik/,
calico (type of cloth),kalikot/,
lime (type of chemical),kalk/,
heel,kalkan/,
calculate,kalkul/,
calomel (type of chemical),kalomel/,
"trousers, pants, slacks",kalson/,
"calumniate, slander, libel, malign",kalumni/,
bald-headed,kalv/,
Calvin,Kalvin/,
"comrade, companion, pal",kamarad/,
bill of exchange (commerce),kambi/,
cameo (type of carving),kame/,
camel,kamel/,
camellia (type of plant),kameli/,
fireplace,kamen/,
small dark room,kamer/,
camphor (type of chemical),kamfor/,
camion (type of truck or cart),kamion/,
camisole (women\'s undergarment),kamizol/,
camlet (type of cloth),kamlot/,
chamomile (type of plant),kamomil/,
"field, expanse of land; scope",kamp/,
campaign (military),kampanj/,
"cane, reed",kan/,
"hemp, cannabis (type of plant)",kanab/,
linnet (type of bird),kanaben/,
Canada,Kanad/,
"scoundrel, rascal, knave, villain",kanajl/,
canal,kanal/,
type of sofa,kanap/,
canary (type of bird),kanari/,
"chancery, office of public records",kancelari/,
"chancellor, minister of state",kancelier/,
cancer,kancer/,
candy,kand/,
candle,kandel/,
candelabra (branched candlestick),kandelabr/,
candidate,kandidat/,
kangaroo,kanguru/,
cannibal,kanibal/,
crayfish,kankr/,
cannon (military),kanon/,
"canon, member of a cathedral chapter",kanonik/,
sing,kant/,
type of insect,kantarid/,
cantata (in music),kantat/,
"canton (geopolitical entity, as in Switzerland)",kanton/,
"precentor, leader of a church choir",kantor/,
canvass (type of cloth),kanvas/,
"little song, ballad",kanzon/,
head,kap/,
capable,kapabl/,
chapel,kapel/,
"capital, assets, funds",kapital/,
captain (military),kapitan/,
capital (head of a pillar),kapitel/,
capitulate,kapitulac/,
capon (castrated rooster),kapon/,
caper (type of plant),kapor/,
corporal (military),kaporal/,
capote (large cloak with hood),kapot/,
goat,kapr/,
roe deer,kapreol/,
"caprice, whim",kapric/,
Capsicum (hot peppers),kapsik/,
capsule,kapsul/,
"capture, catch",kapt/,
capuchin monk,kapucen/,
hood (as of a monk\'s robe),kapuĉ/,
dear,kar/,
carbine (type of rifle),karaben/,
carafe (type of bottle),karaf/,
"character, quality, nature; habitual conduct",karakter/,
characterize,karakteriz/,
strike obliquely (as in billiards),karambol/,
caramel,karamel/,
crucian carp (type of fish),karas/,
"carat (mass), or karat (gold purity)",karat/,
caravan,karavan/,
coal,karb/,
carbon,karbon/,
"detention cell, jail",karcer/,
thistle (type of plant),kard/,
goldfinch (type of bird),kardel/,
cardinal (Catholic),kardinal/,
caress,kares/,
"career, profession",karier/,
caricature,karikatur/,
clove (type of plant),kariofil/,
type of two-wheeled carriage,kariol/,
carmine (a red pigment),karmin/,
flesh,karn/,
carnival,karnaval/,
diamond (cards),karo/,
"carob-bean, locust-bean (type of fruit)",karob/,
"coachwork, body (of a car, etc.)",karoseri/,
carrot,karot/,
carp (type of fish),karp/,
hornbeam (type of plant),karpen/,
"card, thick paper",kart/,
"speak with a strongly trilled \""r\""",kartav/,
cartilage,kartilag/,
cartridge (for a gun),kartoĉ/,
cartographer,kartograf/,
cartography,kartografi/,
cardboard,karton/,
cartouche (oval used in Egyptian hyroglyphics),kartuŝ/,
merry-go-round,karusel/,
cash; cash-box,kas/,
cassette,kased/,
casserole (type of baking dish),kaserol/,
helmet,kask/,
a man\'s peaked cap,kasked/,
caste; exclusive class,kast/,
castanet (musical instrument),kastanjet/,
castle,kastel/,
beaver,kastor/,
castrate,kastr/,
"hide, conceal, keep secret",kaŝ/,
chestnut (type of fruit),kaŝtan/,
cat,kat/,
catafalque (decorated stage for a coffin),katafalk/,
catacombs (underground burial caverns),katakomb/,
catalepsy (involuntary immobility),katalepsi/,
catalog,katalog/,
medicated plaster to draw out inflammation,kataplasm/,
catapault,katapult/,
catarrh (inflammation of mucous membrane),katar/,
cataract (eye),katarakt/,
catastrophe,katastrof/,
"seat of authority or office, pulpit, throne, etc.",katedr/,
cathedral,katedral/,
category,kategori/,
one who teaches by questions and answers,kateĥist/,
to teach by questions and answers,kateĥiz/,
one who teaches by questions and answers,katekist/,
to teach by questions and answers,katekiz/,
"chain, shackle (for prisoners)",katen/,
Catholic,katolik/,
cotton (type of cloth),katun/,
"bail, bond (as in criminal law)",kaŭci/,
